month,days,capacity_nights,occ_rate,occupied_nights,adr,gross_room_rev,commissions,net_room_rev,city_tax_collected,stays_turns,var_cleaning,fixed_opex,maint_reserve,total_opex,ebitda,ebit_after_capex_amort,scenario
2027-11-01,30,600,0.42000000000000004,252.00000000000003,96.84011117266802,24403.708015512344,3235.931682856937,21167.776332655405,1663.2000000000003,114.54545454545455,5154.545454545455,15500.0,423.3555266531081,21077.900981198563,89.8753514568416,-2210.1246485431584,Base
2027-12-01,31,620,0.3720000000000001,230.64000000000007,93.37774335284183,21536.64272689945,2855.7588255868673,18680.88390131258,1522.2240000000006,109.82857142857146,4942.285714285716,15500.0,373.6176780262516,20815.903392311968,-2135.019490999388,-4435.019490999388,Base
2026-01-01,31,620,0.42545454545454553,263.7818181818182,110.07582684551083,29036.001743175842,3850.173831145117,25185.827912030727,1740.9600000000005,125.61038961038962,5652.467532467533,15500.0,503.7165582406146,21656.18409070815,3529.6438213225774,1229.6438213225774,Ottimistico
2026-02-01,28,560,0.41127272727272735,230.3127272727273,108.96197822658104,25095.33037439541,3327.640807644832,21767.689566750578,1520.0640000000003,115.15636363636365,5182.0363636363645,15500.0,435.3537913350116,21117.390154971377,650.2994117792005,-1649.7005882207995,Ottimistico
2026-03-01,31,620,0.531818181818182,329.7272727272728,117.69688268585905,38807.87213651008,5145.923845301238,33661.94829120884,2176.2000000000007,149.87603305785126,6744.421487603307,15500.0,673.2389658241768,22917.660453427485,10744.287837781358,8444.287837781358,Ottimistico
2026-04-01,30,600,0.7445454545454547,446.72727272727286,130.19771759780218,58162.87129778183,7712.396734085872,50450.474563695956,2948.4000000000015,178.69090909090914,8041.090909090912,15500.0,1009.0094912739191,24550.10040036483,25900.374163331126,23600.374163331126,Ottimistico
2026-05-01,31,620,0.8509090909090911,527.5636363636364,135.519239265173,71495.02266396837,9480.240005242207,62014.78265872616,3481.920000000001,188.41558441558445,8478.7012987013,15500.0,1240.2956531745233,25218.996951875823,36795.785706850336,34495.785706850336,Ottimistico
2026-06-01,30,600,0.8863636363636365,531.8181818181819,137.18909310238107,72959.65405899358,9674.45012822255,63285.20393077102,3510.000000000001,177.27272727272728,7977.272727272728,15500.0,1265.7040786154205,24742.97680588815,38542.22712488288,36242.22712488288,Ottimistico
2026-07-01,31,620,0.921818181818182,570.4,138.81282316764626,79178.83433482543,10499.113432797854,68679.72090202758,3764.6400000000003,178.24999999999997,8021.249999999999,15500.0,1373.5944180405515,24894.844418040553,43784.87648398703,41484.87648398703,Ottimistico
2026-08-01,31,620,0.8154545454545455,505.5818181818182,133.79994452888766,67646.81922754145,8969.968229571998,58676.85099796945,3336.8400000000006,168.52727272727273,7583.727272727273,15500.0,1173.537019959389,24257.26429268666,34419.58670528279,32119.58670528279,Ottimistico
2026-09-01,30,600,0.6736363636363637,404.18181818181824,126.34663006916716,51067.01066250157,6771.485613847709,44295.52504865386,2667.6000000000004,155.45454545454547,6995.454545454546,15500.0,885.9105009730772,23381.36504642762,20914.160002226236,18614.160002226236,Ottimistico
2026-10-01,31,620,0.6027272727272728,373.69090909090914,122.20029631242997,45665.13982017043,6055.1975401546,39609.94228001583,2466.3600000000006,155.7045454545455,7006.704545454548,15500.0,792.1988456003165,23298.903391054864,16311.038888960964,14011.038888960964,Ottimistico
2026-11-01,30,600,0.4963636363636364,297.8181818181818,115.28584663412859,34334.22123394593,4552.717735621231,29781.5034983247,1965.6000000000001,135.37190082644628,6091.735537190082,15500.0,595.630069966494,22187.365607156575,7594.137891168124,5294.137891168124,Ottimistico
2026-12-01,31,620,0.4396363636363637,272.5745454545455,111.16398018195456,30300.47136901437,4017.842503531306,26282.628865483064,1798.9920000000002,129.79740259740262,5840.883116883118,15500.0,525.6525773096613,21866.53569419278,4416.093171290286,2116.0931712902857,Ottimistico
2027-01-01,31,620,0.42545454545454553,263.7818181818182,110.07582684551083,29036.001743175842,3850.173831145117,25185.827912030727,1740.9600000000005,125.61038961038962,5652.467532467533,15500.0,503.7165582406146,21656.18409070815,3529.6438213225774,1229.6438213225774,Ottimistico
2027-02-01,28,560,0.41127272727272735,230.3127272727273,108.96197822658104,25095.33037439541,3327.640807644832,21767.689566750578,1520.0640000000003,115.15636363636365,5182.0363636363645,15500.0,435.3537913350116,21117.390154971377,650.2994117792005,-1649.7005882207995,Ottimistico
2027-03-01,31,620,0.531818181818182,329.7272727272728,117.69688268585905,38807.87213651008,5145.923845301238,33661.94829120884,2176.2000000000007,149.87603305785126,6744.421487603307,15500.0,673.2389658241768,22917.660453427485,10744.287837781358,8444.287837781358,Ottimistico
2027-04-01,30,600,0.7445454545454547,446.72727272727286,130.19771759780218,58162.87129778183,7712.396734085872,50450.474563695956,2948.4000000000015,178.69090909090914,8041.090909090912,15500.0,1009.0094912739191,24550.10040036483,25900.374163331126,23600.374163331126,Ottimistico
2027-05-01,31,620,0.8509090909090911,527.5636363636364,135.519239265173,71495.02266396837,9480.240005242207,62014.78265872616,3481.920000000001,188.41558441558445,8478.7012987013,15500.0,1240.2956531745233,25218.996951875823,36795.785706850336,34495.785706850336,Ottimistico
2027-06-01,30,600,0.8863636363636365,531.8181818181819,137.18909310238107,72959.65405899358,9674.45012822255,63285.20393077102,3510.000000000001,177.27272727272728,7977.272727272728,15500.0,1265.7040786154205,24742.97680588815,38542.22712488288,36242.22712488288,Ottimistico
2027-07-01,31,620,0.921818181818182,570.4,138.81282316764626,79178.83433482543,10499.113432797854,68679.72090202758,3764.6400000000003,178.24999999999997,8021.249999999999,15500.0,1373.5944180405515,24894.844418040553,43784.87648398703,41484.87648398703,Ottimistico
2027-08-01,31,620,0.8154545454545455,505.5818181818182,133.79994452888766,67646.81922754145,8969.968229571998,58676.85099796945,3336.8400000000006,168.52727272727273,7583.727272727273,15500.0,1173.537019959389,24257.26429268666,34419.58670528279,32119.58670528279,Ottimistico
2027-09-01,30,600,0.6736363636363637,404.18181818181824,126.34663006916716,51067.01066250157,6771.485613847709,44295.52504865386,2667.6000000000004,155.45454545454547,6995.454545454546,15500.0,885.9105009730772,23381.36504642762,20914.160002226236,18614.160002226236,Ottimistico
2027-10-01,31,620,0.6027272727272728,373.69090909090914,122.20029631242997,45665.13982017043,6055.1975401546,39609.94228001583,2466.3600000000006,155.7045454545455,7006.704545454548,15500.0,792.1988456003165,23298.903391054864,16311.038888960964,14011.038888960964,Ottimistico
2027-11-01,30,600,0.4963636363636364,297.8181818181818,115.28584663412859,34334.22123394593,4552.717735621231,29781.5034983247,1965.6000000000001,135.37190082644628,6091.735537190082,15500.0,595.630069966494,22187.365607156575,7594.137891168124,5294.137891168124,Ottimistico
2027-12-01,31,620,0.4396363636363637,272.5745454545455,111.16398018195456,30300.47136901437,4017.842503531306,26282.628865483064,1798.9920000000002,129.79740259740262,5840.883116883118,15500.0,525.6525773096613,21866.53569419278,4416.093171290286,2116.0931712902857,Ottimistico
